α_1,Α
ε_1783,ἐπιτωθάζων
ε_1784,ἐπιφαγεῖν
ε_1785,ἐπὶ Φαλληνίου
ε_1786,ἐπιφοιτᾷ
ε_1787,ἐπιφοραῖς
ε_1788,ἐπίφορος ἄνεμοςκαὶδεξιός
ε_1789,ἐπιφροσύνῃ
ε_1790,ἐπίφρων
ε_1791,ἐπιφυλλίδα
ε_1792,ἐπιφυλλίδες
ε_1793,ἐπίχαλκος
ε_1794,ἐπίχαλκον στόμα
ε_1795,Ἐπιχάρης
ε_1796,ἐπίχαρι
ε_1797,ἐπὶ Χαριξένης
ε_1798,ἐπίχαρτος
ε_1799,ἐπιχέαι τοῖς τετελευτηκόσιν
ε_1800,ἐπιχαίρειν
ε_1801,ἐπίχειρα
ε_1802,ἐπὶ χεῖρας φέρειν
ε_1803,ἐπιχειλῆ
ε_1804,ἐπιχειρημάτων
ε_1805,ἐπιχειρητέα
ε_1806,ἐπιχειροτονία
ε_1807,ἐπιχθονίων
ε_1808,ἐπιχιάζει
ε_1809,ἐπίχυτος
ε_1810,ἐπιχώρησον
ε_1811,ἐπιψακάς, ἐπιψακάσει
ε_1812,ἐπιψαύειν
ε_1813,ἐπιψηφιζόμενος
ε_1814,ἐπιψηφίζων
ε_1815,ἐπιώψατο
ε_1816,ἐπλάθην
ε_1817,ἐπλάττετο
ε_1818,ἐπλινθεύθησαν
ε_1819,ἕποιμ’ ἄν
ε_1820,ἐποίνιος
ε_1821,ἐποῖσαι
ε_1822,ἐποισθήσεται
ε_1823,ἕποιτο
ε_1824,ἐπ’ οἴκου
ε_1825,ἐπόδιζον
ε_1826,ἐπόησεἐποίησε
ε_1827,ἐποίνασεν
ε_1828,ἐποιχόμεθα
ε_1829,ἐπόγδοον
ε_1830,ἐποκέλλουσιν
ε_1831,ἐπολυώρησας
ε_1832,ἐπόνουν
ε_1833,ἐποργῶσα
ε_1834,ἔπορεν
ε_1835,ἔπος
ε_1836,ἐποτρύνει
ε_1837,ἔπος παρ’ ἔπος
ε_1838,ἐποστρακίζειν
ε_1839,ἐποπτεύω
ε_1840,ἐπούρισεν
ε_1841,ἐπ’ οὐδόν
ε_1842,ἐποφθαλμήσας
ε_1843,ἐποχετεῦσαι
ε_1844,ἐποχεῖται
ε_1845,ἐπράξατο
ε_1846,ἐπρίατο
ε_1847,ἐπροεθυμήθη, ἐπροεξένει, ἐπροαγώγευε
ε_1848,ἐπρυτάνευσε
ε_1849,ἔπρωσεν
ε_1850,ἑπταβόειον
ε_1851,ἐπταικώς
ε_1852,ἐπτέρου
ε_1853,ἐπταρύξατο
ε_1854,ἑπτὰ τοῦ ὀβολοῦ χίμαιραι
ε_1855,ἑπτάχορδα
ε_1856,ἔπτηξεν
ε_1857,ἐπτηχότες
ε_1858,ἐπτοημένος
ε_1859,ἐπτοῆσθαι
ε_1860,ἐπύθοντο
ε_1861,ἐπύριζεν
ε_1862,ἐπύρσευσε
ε_1863,ἐπυστιᾶτο
ε_1864,ἐπῳάζουσιν
ε_1865,ἐπωβελία
ε_1866,ἐπωβελία
ε_1867,ἐπωβελία
ε_1868,ἐπωβελία
ε_1869,ἐπῳδός
ε_1870,ἐπώιζειν
ε_1871,ἐπώκειλα
ε_1872,†ἐπωνία†
ε_1873,ἐπώνυμοι
ε_1874,ἐπώνυμοι
ε_1875,ἐπώνυμοι
ε_1876,ἐπωπτευκότων
ε_1877,ἐπῴχετο
ε_1878,ἐρᾷ
ε_1879,ἐρανεμπόλοις
ε_1880,ἐρανέμπολοι
ε_1881,ἐργάτης
ε_1882,ἐργασείειν
ε_1883,ἔρανα
ε_1884,ἔρανον
ε_1885,ἔρανος
ε_1886,ἐρανίσας
ε_1887,ἐρανιστάς
ε_1888,ἐρανίσαι
ε_1889,ἐρανιῶν
ε_1890,ἐραστριᾶν καὶ ἐρωτίζειν
ε_1891,ἐρατειχεύειν
ε_1892,Ἐργάνη
ε_1893,ἐργατίστερον
ε_1894,ἔργα νέων
ε_1895,Ἐργίσκη
ε_1896,Ἐργοκλῆς καὶ Ἐργόφιλος
ε_1897,ἔργον εἰπεῖν
ε_1898,ἐργολαβῆσαι
ε_1899,ἔργον
ε_1900,ἐργολάβοι
ε_1901,ἐρεβίνθινος Διόνυσος
ε_1902,ἐρέβινθος
ε_1903,ἐρείδειν
ε_1904,ἔρεσθαι
ε_1905,†ἐρέσσειν†
ε_1906,ἐρεσχηλεῖν
ε_1907,ἐρεσχηλοῦντα
ε_1908,Ἐρετρικὸς κατάλογος
ε_1909,ἐρεφθείς
ε_1910,ἐρήμη δίκη
ε_1911,ἐρήμην ἁλῶναι
ε_1912,ἔρημον ἐμβλέπειν
ε_1913,ἔριθος
ε_1914,ἐρείκη
ε_1915,ἐρικτῶν
ε_1916,ἐρινάζειν
ε_1917,ἐριούνιον
ε_1918,ἐρίπναι
ε_1919,ἐρικνωμένον
ε_1920,ἐρίῳ στέψαντες
ε_1921,ἑρκάνη
ε_1922,ἕρκεσι
ε_1923,ἕρκη
ε_1924,ἕρκειος
ε_1925,ἔρρειν
ε_1926,ἑρκείου Διός
ε_1927,ἕρκειος Ζεύς
ε_1928,ἑρκόπεζα
ε_1929,†ἑρμάν†
ε_1930,Ἑρμαῖ
ε_1931,ἕρμαιον
ε_1932,Ἑρμαφρόδιτος
ε_1933,Ἑρμῆς τρικέφαλος
ε_1934,Ἑρμῆς στροφαῖος
ε_1935,Ἑρμῆς τετρακέφαλος
ε_1936,Ἑρμῆς ὁ πρὸς τῇ πυλίδι
ε_1937,Ἑρμ†εί†ας
ε_1938,Ἑρμῆς
ε_1939,Ἕρμειοικαὶἐξ Ἕρμου
ε_1940,Ἑρμιόνη
ε_1941,Ἑρμοκοπίδαι
ε_1942,Ἑρμοκοπίδαι
ε_1943,Ἑρμοῦ κλῆρος
ε_1944,Ἕρμος
ε_1945,Ἑρμώνιος χάρις
ε_1946,ἐρόμενος
ε_1947,Ἐροιάδαι
ε_1948,ἕρπει
ε_1949,ἑρπήνη
ε_1950,ἑρπύζων
ε_1951,ἔρρε
ε_1952,ἔρρει
ε_1953,ἔρρειν
ε_1954,ἐρρέτω
ε_1955,ἔρρηκε
ε_1956,ἐρρήσετε
ε_1957,ἐρρηνοβοσκός
ε_1958,ἐρρήσεις
ε_1959,ἐρρήσαντο
ε_1960,†ἔρριον†
ε_1961,†ἔρριον†
ε_1962,ἐρριπίζετο
ε_1963,ἐρρόντων
ε_1964,ἐρρώγασιν
ε_1965,ἐρρωγότες
ε_1966,ἔρρων
ε_1967,ἐρρωπίζομεν
ε_1968,ἐρρώσαντο
ε_1969,ἐρρῶσθαι φράσας
ε_1970,ἑρσήεις
ε_1971,ἑρσήεντα
ε_1972,ἐρυγγάνειν
ε_1973,ἐρυθαίνει
ε_1974,Ἐρυθραῖοι
ε_1975,ἔρυμα
ε_1976,ἐρυμνήν
ε_1977,ἐρυσίβη
ε_1978,†ἔρυσμον†
ε_1979,ἔρυσος
ε_1980,ἐρύσταζεν
ε_1981,ἐρύσιμον
ε_1982,†ἔρυφον†
ε_1983,ἐρχθέντα
ε_1984,†Ἐρχιάθαι
ε_1985,ἐρῳδιός
ε_1986,ἐρώμεθα
ε_1987,ἔρωμαί σε
ε_1988,ἐρῶν
ε_1989,ἐσάλευεκαὶἀπεσάλευε
ε_1990,ἔσβη
ε_1991,ἐσδραμύλιξον
ε_1992,ἐσέφθην
ε_1993,ἐσθήματα
ε_1994,ἐσθλά
ε_1995,ἔσθοντες
ε_1996,ἔσθος
ε_1997,ἔσθ’ ὅτε
ε_1998,ἐσίνοντο
ε_1999,ἔσκαλεν
ε_2000,ἐσκήνησαν
ε_2001,ἐσκληκότα
ε_2002,ἐσκοπεῖτο
ε_2003,ἐσκοπίαζε
ε_2004,ἐσκοροδισμένος
ε_2005,ἐς κόρακας
ε_2006,ἐς κόρακας
ε_2007,ἕσμα
ε_2008,ἑσμός
ε_2009,ἐσμυρνισμένον
ε_2010,ἐς ὀλβίαν
ε_2011,ἐς ὀψιγόνους
ε_2012,ἐσπάριζεν
ε_2013,ἐσπάθα
ε_2014,ἐσπαθημένος
ε_2015,ἐσπαθᾶτο
ε_2016,ἑσπέραν
ε_2017,ἕσπερον κέλευθον
ε_2018,†ἑσπέται†
ε_2019,ἔσταλκεν
ε_2020,ἐσταθευμένον
ε_2021,ἔστ’ ἄν
ε_2022,ἐστηλιτευμένον
ε_2023,ἑστήξει
ε_2024,ἑστιᾶν
ε_2025,ἑστία
ε_2026,ἑστιατορία
ε_2027,ἑστιάτωρ
ε_2028,Ἑστίᾳ θύομεν
ε_2029,ἐς τί ἔτι
ε_2030,ἔστιν
ε_2031,ἑστιῶν
ε_2032,ἐστόμφασεν
ε_2033,ἐς τὸν λιμένα
ε_2034,†ἐστρωμνημένος†
ε_2035,ἐστορέσθη
ε_2036,ἐσφάλιξενπεδῆσαι
ε_2037,ἐσφηκωμένον
ε_2038,ἔσφηλε
ε_2039,ἐς φοινικίδα{ς} καταξᾶναι
ε_2040,ἐς Φρεάτου
ε_2041,ἐσχάρα
ε_2042,ἐσχάρα
ε_2043,ἐσχάραι πυρός
ε_2044,ἐσχάρας
ε_2045,ἐσχάριον
ε_2046,ἐσχαρίτην
ε_2047,ἐσχάτη ἀδικία
ε_2048,ἐσχατιά
ε_2049,ἐσχατιάν
ε_2050,ἔσχατος Μυσῶν
ε_2051,ἔσχε
ε_2052,ἐσχεδίαζον
ε_2053,ἐσχάτως
ε_2054,ἔσχεν
ε_2055,ἔσχετο
ε_2056,Ἐτεοβουτάδαι
ε_2057,Ἐτεοβουτάδαι
ε_2058,ἑτερομόλιος δίκη
ε_2059,ἔτειρε
ε_2060,ἐτεόν
ε_2061,ἔτ<ε>ια
ε_2062,Ἑταίρας
ε_2063,ἑταίρα
ε_2064,ἑταιρικός
ε_2065,ἑταιρίστριαι
ε_2066,ἑταιριζομένη
ε_2067,ἑταιρισάμενος
ε_2068,ἑταιρία
ε_2069,ἑταιρ†ί†σας
ε_2070,ἑταιρίστριαι
ε_2071,ἑταιρῶν ἀνθίνων
ε_2072,ἕταις
ε_2073,ἑταιρεῖν
ε_2074,†ἑταιρότοιχα†
ε_2075,ἐτέλει
ε_2076,ἐτελέσθησαν
ε_2077,ἐτέλεσε
ε_2078,ἑτεραλκέα
ε_2079,ἑτεροιούμενοι
ε_2080,ἑτεροῖον
ε_2081,ἕτερος
ε_2082,ἕτερος
ε_2083,ἑτερόγναθος
ε_2084,ἑτερομάσχαλος
ε_2085,ἑτερόφθαλμος
ε_2086,ἑτέρωθι
ε_2087,ἑτέρωσέ ποι
ε_2088,ἑτερόπλουν
ε_2089,ἑτερόφθαλμος
ε_2090,ἑτέρωσε
ε_2091,ἔτειον
ε_2092,ἔτλης
ε_2093,ἔτνος
ε_2094,ἔτνα
ε_2095,ἔτνος
ε_2096,ἐτνήρυσιν
ε_2097,ἐτησίαι
ε_2098,ἐτήσιοι
ε_2099,ἐτιθήνευσεν
ε_2100,ἐτός
ε_2101,ἐτόπασεν
ε_2102,ἐτραγῴδουν
ε_2103,ἐτρύχωσεν
ε_2104,ἐτύγχανεν
ε_2105,ἐττημένα
ε_2106,εὐαγές
ε_2107,εὐάγωγον
ε_2108,εὐάγωγον
ε_2109,εὐαγωγία
ε_2110,εὐαγγελεῖν
ε_2111,εὐαγής
ε_2112,εὐάγκαλον
ε_2113,Εὐαγόρας
ε_2114,†Εὔαιον†
ε_2115,εὐανδρία
ε_2116,εὐανθὴς γλῶσσα
ε_2117,εὐαλδεῖ
ε_2118,εὐάντητος
ε_2119,εὐάντητος
ε_2120,εὐάντυγα
ε_2121,εὐαφές
ε_2122,εὖ βεβηκότα
ε_2123,Εὐβοιεῖς
ε_2124,εὔβοτον
ε_2125,Εὔβουλος
ε_2126,εὖγε
ε_2127,εὐγενέστερος Κόδρου
ε_2128,εὐγηρότατος
ε_2129,εὐγμαλέων
ε_2130,εὐγνώμωνἀγνώμονα
ε_2131,εὐγνωμοσύνη
ε_2132,εὐδείπνους
ε_2133,εὐδιάλογος
ε_2134,εὐδαιμονία
ε_2135,Εὔδικος
ε_2136,εὐδίαιος
ε_2137,εὐδαιμονέστατος
ε_2138,εὔδμητον
ε_2139,εὐδοκιμοῖ καὶ εὐδοκιμοίη
ε_2140,εὕδοντι δ’ αἱρεῖ κύρτος
ε_2141,εὗδον
ε_2142,εὐδρανής
ε_2143,εὖ δρῶσι
ε_2144,εὖ εἰδότες
ε_2145,†εὖεν†
ε_2146,εὐέδρως
ε_2147,εὔειρον
ε_2148,εὔεικτον
ε_2149,εὖ ἔχειν στόμα
ε_2150,εὐεκτικῶς
ε_2151,εὐεξία
ε_2152,εὐεπής
ε_2153,εὐερμία
ε_2154,εὐερνής
ε_2155,εὐερκής
ε_2156,εὐερμῶ
ε_2157,εὐετηρία
ε_2158,εὐζωΐτου
ε_2159,εὔζωνοι
ε_2160,εὔζωνος
ε_2161,εὔζωρον
ε_2162,εὐηθείας
ε_2163,εὐήθης
ε_2164,εὔηθες
ε_2165,εὐήλατον
ε_2166,εὔειλος
ε_2167,εὐερκ<ε>ίας
ε_2168,εὐεστώ
ε_2169,εὐζωρότερον
ε_2170,εὐήθης
ε_2171,εὔηθες
ε_2172,εὐημερίαν
ε_2173,εὐημερία
ε_2174,εὐηνέμους
ε_2175,εὐηνιώτατα
ε_2176,εὐήνιον
ε_2177,εὐήνιος
ε_2178,εὐήνορα
ε_2179,Εὔηνος
ε_2180,εὐήρεια
ε_2181,εὐῆρες
ε_2182,εὐήροτον
ε_2183,εὐήτριον
ε_2184,εὐῆρες
ε_2185,εὐθὺς
ε_2186,εὐθέος
ε_2187,εὐθενεῖν
ε_2188,εὖ θέσθαι
ε_2189,εὐθετίσαι
ε_2190,εὐθημονεῖσθαι
ε_2191,Εὐθίας
ε_2192,εὔθικτον
ε_2193,εὔθυνος
ε_2194,†εὔ†θρυπτα
ε_2195,εὐθύ
ε_2196,εὐθυβόλῳ
ε_2197,εὐθυ†γ†ενής
ε_2198,εὐθυγνωμίας
ε_2199,εὐθ†υ†μοσύνη
ε_2200,εὐθύδημον
ε_2201,εὐθυεπ†ί†αις
ε_2202,εὐθυδικία
ε_2203,εὐθὺ Λυκείου
ε_2204,εὐθύναι
ε_2205,εὔθυνα
ε_2206,†εὐθύναι†
ε_2207,εὐθῦναι
ε_2208,εὐθύνοντας
ε_2209,εὔθυνος
ε_2210,εὐθύνας
ε_2211,εὐθύνουσιν
ε_2212,εὐθύωρον
ε_2213,εὐθύορον
ε_2214,εὐθυτενίζουσα
ε_2215,εὐθυ†ρ†ήμων
ε_2216,εὐθὺς καὶ εὐθέως
ε_2217,εὐθὺ σκοποῦ
ε_2218,εὐθύ
ε_2219,εὐθυωρίαν
ε_2220,εὐιλατεύειν
ε_2221,εὖ ἴσθι
ε_2222,εὐκατάπρ†ι†στος
ε_2223,εὐκερματεῖν
ε_2224,εὔκηλον
ε_2225,εὐκλεές
ε_2226,εὔκληρος
ε_2227,εὐκλεία καὶ τὰ ὅμοια
ε_2228,εὐκληρία
ε_2229,εὔκολος
ε_2230,εὐκόμιστος
ε_2231,εὔκρας
ε_2232,εὐκρινής
ε_2233,εὐκρινές
ε_2234,εὐκτάζου
ε_2235,εὐκταῖον
ε_2236,εὔκυκλος
ε_2237,εὐλάβησον καὶ εὐλαβῆσαι
ε_2238,εὐλαβοῦ
ε_2239,εὐλάχα
ε_2240,εὐληματεῖ
ε_2241,εὐλόγηκεν
ε_2242,εὐλογιστίας
ε_2243,εὐμάρειαι
ε_2244,εὐμαρής
ε_2245,εὐμάρειαν
ε_2246,εὐμαρίδες
ε_2247,Εὐμενίδες
ε_2248,εὐμεταβολώτερος κοθόρνου
ε_2249,εὐμοιρία
ε_2250,εὐμολπίᾳ πολλάκις τῆς ἡμέρας †τρεπόμενος
ε_2251,Εὐμολπίδαι
ε_2252,Εὐμολπίδαι
ε_2253,εὐνάς
ε_2254,εὐνάς
ε_2255,εὐναῖος
ε_2256,εὖ νένηται
ε_2257,εὐνηθέντες
ε_2258,Εὐνεῖδαι
ε_2259,Εὐνεῖδαι
ε_2260,εὖνοι
ε_2261,εὐνοίας
ε_2262,εὐνομουμένη
ε_2263,εὐνούστατα
ε_2264,εὐνοῦχος
ε_2265,εὔογκον
ε_2266,Εὔνοστος
ε_2267,εὐοῖ σαβοῖ
ε_2268,εὐοῖ σαβοῖ
ε_2269,εὐορνιθίαν
ε_2270,εὐόφθαλμον
ε_2271,εὐοφθάλμως
ε_2272,Εὔξεινον
ε_2273,εὔξοον
ε_2274,εὐόργητος
ε_2275,εὔοχθον
ε_2276,εὖ παρασχόν
ε_2277,εὐπάρεδρον
ε_2278,εὐπάθεια
ε_2279,εὐπατρίδαι
ε_2280,εὐπάροιστον
ε_2281,εὐπάρυφα
ε_2282,εὐπάρυφος
ε_2283,εὐπατρίδαι
ε_2284,εὐπερίστατον
ε_2285,εὐπετής
ε_2286,εὐπετῶς
ε_2287,εὐπινές
ε_2288,εὐπλοκαμῖδες
ε_2289,εὔπ†ο†νος
ε_2290,εὐπότμως
ε_2291,εὐπραξίαν
ε_2292,εὔπρῳρον
ε_2293,εὔπρηστον
ε_2294,εὔπτορθον
ε_2295,εὐράχαντες
ε_2296,εὕρασθαι
ε_2297,εὑρέσθαι
ε_2298,εὑρήματα
ε_2299,εὑρήματα
ε_2300,εὑρεσιεπής
ε_2301,εὑρεσιέπεια
ε_2302,εὑρεσίλογος
ε_2303,εὑρήσεται
ε_2304,εὔριζον
ε_2305,εὐπειθοπράγμων
ε_2306,εὐρινότατος
ε_2307,εὔριπος
ε_2308,†εὐροναήτοις†
ε_2309,εὐρυάγυια
ε_2310,Εὐρύβατον
ε_2311,Εὐρύβατος
ε_2312,Εὐρύβατος
ε_2313,εὔρυθμον
ε_2314,Εὐρυκλῆς
ε_2315,εὐρυκρείων
ε_2316,Εὐρυμέδων
ε_2317,εὐρύνεται
ε_2318,εὐρύοπα
ε_2319,εὐρυπύλης
ε_2320,Εὐρυσάκ†ι†ον
ε_2321,εὐρυσθενής
ε_2322,εὐρυχωρία
ε_2323,εὐρ{υ}ώεντα
ε_2324,†εὐρώτω†
ε_2325,εὐρώς
ε_2326,εὐρωτιῶν
ε_2327,εὔσανα
ε_2328,εὖσις
ε_2329,εὐσία
ε_2330,εὐσέλανον
ε_2331,εὔσκαρ†φ†ος
ε_2332,εὐσταλής
ε_2333,εὔσκε<υ>ος
ε_2334,εὔσκευος
ε_2335,†εὐσκωμματέχειν†
ε_2336,Εὔσουν ἥρωα
ε_2337,εὔσοια
ε_2338,εὐστέφανον
ε_2339,εὐστομεῖν
ε_2340,εὔστομον
ε_2341,εὐστιβής
ε_2342,εὕστρα
ε_2343,εὗστραι
ε_2344,εὐσύνοπτον
ε_2345,εὐσύμβο{υ}λος
ε_2346,εὐσταλής
ε_2347,εὗστραι
ε_2348,εὔτακτον
ε_2349,εὐτελές
ε_2350,εὐτελῆ
ε_2351,εὐτειχεῖ πάγῳ
ε_2352,εὐτοκία πολύγονος
ε_2353,εὐτρεπῆ
ε_2354,εὐτρεπής
ε_2355,εὐτραπελία
ε_2356,Εὐτρήσιος
ε_2357,εὔτυκτον
ε_2358,εὐτυχήθη
ε_2359,εὐτελής
ε_2360,εὐφημεῖ
ε_2361,εὐφήμει
ε_2362,εὐφημίαν
ε_2363,εὐφήμοις
ε_2364,εὐφραδής
ε_2365,Εὐφραῖος
ε_2366,†εὔφρος†
ε_2367,εὐφυᾶ
ε_2368,εὐφυεῖς
ε_2369,εὐφυεῖς
ε_2370,εὐφυῶς
ε_2371,εὐφώρατον
ε_2372,εὐχερής
ε_2373,εὔχεται
ε_2374,εὔχορος
ε_2375,εὖχος
ε_2376,εὐχωλή
ε_2377,εὔχρων
ε_2378,εὔωνον
ε_2379,εὐώνυμον
ε_2380,εὐωρεῖ
ε_2381,εὐωρία
ε_2382,εὐωρία
ε_2383,εὐωριάζειν
ε_2384,ἔφα
ε_2385,ἐφάλια
ε_2386,ἐφάμιλλον
ε_2387,ἐφάπαξ
ε_2388,ἐφαύλιζον
ε_2389,ἐφάψασθαι
ε_2390,ἐφάψαι
ε_2391,ἐφεδρεύει
ε_2392,ἐφεδριάζειν
ε_2393,ἐφ’ ἑαυτῆς
ε_2394,ἔφεδρον
ε_2395,ἔφεδρος
ε_2396,ἐφεῖτο
ε_2397,ἐφεῖτο
ε_2398,ἐφεκτοὺς τόκους
ε_2399,ἔφεκτος τόκος
ε_2400,ἐφελκυστής
ε_2401,ἐφέ†ξ†εται
ε_2402,ἐφέξει
ε_2403,Ἐφέσια γράμματα
ε_2404,Ἐφέσια
ε_2405,Ἐφέσια γράμματακαὶἘφέσια ἀλεξιφάρμακα
ε_2406,ἔφεσις
ε_2407,ἔφες
ε_2408,ἐφέσεις
ε_2409,ἔφεσις
ε_2410,ἔφεσιςἔκκλητος
ε_2411,ἐφέστιοι
ε_2412,ἐφεστιασάμενος
ε_2413,ἐφεστρίς
ε_2414,ἐφεστρίδες
ε_2415,ἐφέται
ε_2416,ἐφέται
ε_2417,ἐφέται
ε_2418,ἐφετικός
ε_2419,ἐφετίνδα
ε_2420,ἐφεψιώμενοι
ε_2421,ἐφηβεία
ε_2422,ἔφηβος
ε_2423,ἔφηβον
ε_2424,ἐφήδοιτο
ε_2425,ἐφῆκα
ε_2426,ἔφηκε
ε_2427,ἔφηλος
ε_2428,ἔφηλον
ε_2429,ἐφήγησις
ε_2430,ἐφημερία
ε_2431,ἐφήμερος
ε_2432,ἔφηνεν
ε_2433,ἐφῆπτο
ε_2434,ἐφησθεῖεν
ε_2435,ἐφήσθη
ε_2436,ἑφθαλέου
ε_2437,ἐφθάραται
ε_2438,ἐφιάλας
ε_2439,ἐφιείς
ε_2440,ἐφιέμενοι
ε_2441,ἐφ’ Ἱερόν
ε_2442,ἐφίεται
ε_2443,ἐφιέτω
ε_2444,ἐφιζάνει
ε_2445,ἐφίζεται
ε_2446,ἐφίησιν
ε_2447,ἐφικέσθαι
ε_2448,ἐφικνούμενος
ε_2449,ἐφίκοντο
ε_2450,ἐφικτόν
ε_2451,ἐφίππιον
ε_2452,ἔφιππον
ε_2453,ἔφλα
ε_2454,ἔφλιψεν
ε_2455,ἐφοδευσάτωσαν
ε_2456,ἐφόδια
ε_2457,ἔφοδος
ε_2458,ἐφόλκια
ε_2459,ἐφόλκια
ε_2460,ἐφολκὰ
ε_2461,ἐφορμήν
ε_2462,ἐφορία
ε_2463,ἐφορμεῖν
ε_2464,ἐφορ{ε}ία
ε_2465,ἐφορεία
ε_2466,ἔφορος
ε_2467,ἐφορεύειν
ε_2468,ἔφοροι
ε_2469,ἐφ’ ὅτῳ
ε_2470,ἔφρασεν
ε_2471,ἔφυ
ε_2472,ἔφυγον κακόν, εὗρον ἄμεινον
ε_2473,ἐφ’ ὕδωρ
ε_2474,ἐφ’ ὕδωρ
ε_2475,ἔφυδρος
ε_2476,ἐφύμνιον
ε_2477,†ἔφυντο†
ε_2478,ἐφύπερθεν
ε_2479,ἔφυρον
ε_2480,ἐφώδευσαν
ε_2481,ἐχέγγυον
ε_2482,ἐχέγγυος
ε_2483,ἔχε δή
ε_2484,ἔχεεν
ε_2485,ἔχει αὐτὸν ὁ τοῦ θανάτου ζόφος χαλινώσας
ε_2486,ἐχεμυθία
ε_2487,ἐχεμυθεῖ
ε_2488,ἐχέμυθον
ε_2489,ἐχέτλη
ε_2490,Ἐχελιδῶν
ε_2491,ἐχθ†ε†ζινόν
ε_2492,ἐχθὲς
ε_2493,ἔχθημα
ε_2494,ἐχθιζόμεθα
ε_2495,ἐχέφρων
ε_2496,ἐχηρώθησαν
ε_2497,ἐχθαίρει
ε_2498,ἔχθιστος
ε_2499,ἐχθοδοπόν
ε_2500,ἐχθόμενος
ε_2501,ἔχθος
ε_2502,ἐχῖνος
ε_2503,ἐχῖνος
ε_2504,ἐχῖνος τὸν τόκον ἀναβάλλῃ
ε_2505,ἐχῖνοι
ε_2506,ἐχόμενος
ε_2507,ἔχοντες
ε_2508,ἐχυρῶς
ε_2509,ἐχύρωσεν
ε_2510,ἕψειν
ε_2511,ἕψεται
ε_2512,ἐψημυθιῶσθαι
ε_2513,ἑψητοί
ε_2514,ἑψιᾶσθαι
ε_2515,†ἑψιοῦσα†
ε_2516,ἐψυχαγώγησεν
ε_2517,ἑωθινὰς δίκας
ε_2518,ἐωθώς
ε_2519,ἐῴκει
ε_2520,ἐῴην
ε_2521,ἐώθουν
ε_2522,ἑωλοκρασία
ε_2523,ἑωλοκρασίαν
ε_2524,ἑωλοκρασία
ε_2525,ἕωλον
ε_2526,ἕωλον
ε_2527,ἐωνημένοι
ε_2528,ἐώρα
ε_2529,ἐωρηθήτω
ε_2530,ἑωράκη
ε_2531,ἐώρησις
ε_2532,ἐωροκοπίαις
ε_2533,ἑώρων
ε_2534,ἕως
ε_2535,ἕως
ε_2536,ἑώνυχον
ε_2537,ἔωσεἐώσατο
ε_2538,ἑωσφόρος
ε_2539,Περὶ τῶν ἕνδεκα
ζ_1,ζαβρόν
ζ_2,ζάγρα
ζ_3,Ζαγρεύς
ζ_4,†ζάειρα†
ζ_5,ζαές
ζ_6,ζαῆν ἄνεμον
ζ_7,ζάκορος
ζ_8,ζάκοτον
ζ_9,ζάλη
ζ_10,ζαμβύκη
ζ_11,Ζάμολξις
ζ_12,ζάπλουτος
ζ_13,ζατῶσαι
ζ_14,Ζέα
ζ_15,ζεῖλα
ζ_16,ζείδωρον
ζ_17,ζειρά
ζ_18,ζειρά
ζ_19,ζειραί
ζ_20,ζειρός
ζ_21,ζέσας θυμῷ
ζ_22,ζέτνα
ζ_23,ζευγίσιον
ζ_24,ζεύγλη
ζ_25,ζεύγλη
ζ_26,ζεῦγμα
ζ_27,ζεῦγος
ζ_28,ζεῦγος ἡμιονικὸν
ζ_29,Ζεῦξις
ζ_30,ζευξίλεως
ζ_31,Ζεὺς Κτήσιος
ζ_32,Ζέφυρος
ζ_33,ζῆ
ζ_34,ζηλοτυπία
ζ_35,ζηλοτυποῦν καὶ ζηλοῦν
ζ_36,ζήλου
ζ_37,ζηλῶ
ζ_38,ζηλωτός
ζ_39,ζητητής
ζ_40,ζημίαν λαβεῖν
ζ_41,ζήσει
ζ_42,ζητηταί
ζ_43,ζητεῖν
ζ_44,ζητήσεται
ζ_45,ζήτρειον
ζ_46,ζητόρων
ζ_47,ζιβύνη
ζ_48,ζιγγοῦν
ζ_49,ζόφον
ζ_50,ζυγάδην
ζ_51,ζύγαστρον
ζ_52,ζύγιοι
ζ_53,ζυγόν
ζ_54,ζυγόν
ζ_55,ζυγός
ζ_56,ζυγόδεσμος
ζ_57,ζυγομαχεῖ
ζ_58,ζυγός
ζ_59,ζυγοφορούμενα
ζ_60,ζυγώσω
ζ_61,ζῦθος
ζ_62,ζωαρκῆ
ζ_63,ζωάγρια
ζ_64,ζωγρεῖ
ζ_65,ζωήν
ζ_66,ζῶμα
ζ_67,ζῶμα
ζ_68,ζωμεύματα
ζ_69,ζωμίλη
ζ_70,ζωμὸς μέλας
ζ_71,ζῶμα φαεινόν
ζ_72,ζώννυσθαι
ζ_73,ζῷον
ζ_74,ζωοδότειρα
ζ_75,ζώπυρα
ζ_76,ζώπυρα
ζ_77,ζώπυρα
ζ_78,ζωπυρεῖ
ζ_79,ζωπυρῆσαι
ζ_80,ζωπύρια
ζ_81,ζώπυρον
ζ_82,Ζωπύρου τάλαντα
ζ_83,Ζωπύρου τάλαντα
ζ_84,ζωροπόται
ζ_85,ζωρότερον
ζ_86,ζωστήρ
ζ_87,ζῶστρα
ζ_88,ζωφυτεῖσθαι
η_1,ᾗ
η_2,ἤ
η_3,ἦ
η_4,ᾖα
η_5,ἡβᾷ
η_6,ἠβαιόν
